"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Disaster","2025-04-30 20:49:52","2025-05-01 02:59:51","RESOLVED","(CTEC) SERVIDOR ILUPBIEIM02","ICMP PING is unavailable","6h 9m 59s","No","Actions (7)","Application: ICMP, GLPI: Yes, GLPICat: 2883, TICKET: 40904, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=40904"
"Warning","2025-04-30 20:37:46","2025-04-30 20:42:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Average","2025-04-30 20:36:15","2025-04-30 20:44:43","RESOLVED","(CTEC) SERVIDOR HEPPBIEIM01","4 G:: Disk is overloaded (util > 92% for 15m)","8m 28s","No","","Application: Disk 4 G:"
"Disaster","2025-04-30 20:34:03","2025-04-30 20:35:03","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","ICMP PING is unavailable","1m","No","Actions (6)","Application: ICMP, GLPI: Yes, GLPICat: 2883"
"Average","2025-04-30 20:29:25","2025-04-30 20:30:25","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","5 J:: Disk is overloaded (util > 92% for 15m)","1m","No","","Application: Disk 5 J:"
"Warning","2025-04-30 20:27:54","2025-04-30 20:32:54","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","CPU queue length is too high (over 3 for 5m)","5m","No","","Application: CPU"
"Warning","2025-04-30 20:27:46","2025-04-30 20:32:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Disaster","2025-04-30 20:18:45","2025-05-01 00:20:12","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","TCP Port 3389 is not avalaible","4h 1m 27s","No","Actions (6)","Application: Detalhes_TS"
"Average","2025-04-30 20:17:29","2025-04-30 20:28:29","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","SQLServer: Buffer Manager: Page life expectancy is under 5min","11m","No","","Application: SQL, GLPI: Yes"
"Disaster","2025-04-30 20:15:07","2025-05-01 00:22:06","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","ICMP PING is unavailable","4h 6m 59s","No","Actions (7)","Application: ICMP, GLPI: Yes, GLPICat: 2883, TICKET: 40903, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=40903"
"Average","2025-04-30 20:14:42","2025-04-30 20:17:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","2m 58s","No","","Application: Disk 1 D:"
"Disaster","2025-04-30 20:12:47","2025-05-01 00:23:44","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","TCP Port 3200 SAP GUI is not avalaible","4h 10m 57s","No","Actions (6)","Application: Listening Ports"
"Average","2025-04-30 20:08:16","2025-05-01 00:15:16","RESOLVED","(POLITECNICO) SERVIDOR PGPDMMPAPP02","High Memory Utilization (over  85%)","4h 7m","No","","Application: Memory, Application: TelegramKPI, GLPI: Yes, GLPICat: 2875"
"Information","2025-04-30 20:03:35","2025-04-30 21:08:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","1h 5m","No","","Application: General"
"Information","2025-04-30 19:48:35","2025-04-30 19:53:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Warning","2025-04-30 19:47:46","2025-04-30 19:52:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Warning","2025-04-30 19:37:17","2025-04-30 20:27:17","RESOLVED","Zabbix Proxy Secundario","More than 100 items having missing data for more than 10 minutes","50m","No","","Application: Zabbix proxy"
"Information","2025-04-30 19:33:35","2025-04-30 19:38:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Average","2025-04-30 19:24:29","2025-04-30 20:13:31","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","SQLServer: Buffer Manager: Page life expectancy is under 5min","49m 2s","No","","Application: SQL, GLPI: Yes"
"Disaster","2025-04-30 19:20:12","2025-04-30 19:21:12","RESOLVED","(CTEC) SERVIDOR C3P-APACHECMS01","ICMP PING is unavailable","1m","No","Actions (2)","Application: ICMP, GLPI: Yes, GLPICat: 2883"
"Average","2025-04-30 19:15:40","2025-04-30 19:18:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","3m","No","","Application: Disk 1 D:"
"High","2025-04-30 19:12:35","2025-04-30 19:32:35","RESOLVED","(CTEC) SERVIDOR C3P-APACHE01","Unavailable by ICMP ping","20m","No","","Application: Status, Availability: Yes"
"High","2025-04-30 19:10:41","2025-04-30 21:04:41","RESOLVED","(CTEC) SERVIDOR HEPPBIODS01","High Memory Utilization ( >90% for 10m)","1h 54m","No","Actions (2)","Application: Memory"
"Average","2025-04-30 19:02:18","2025-04-30 19:32:48","RESOLVED","(CTEC) SERVIDOR C3P-APACHE01","Unavailable by ICMP ping","30m 30s","No","","Application: Status, Availability: Yes"
"Disaster","2025-04-30 18:56:34","2025-04-30 18:48:34","RESOLVED","(POLITECNICO) SERVIDOR PGPDMMPSQL01","""DPS"" (Diagnostic Policy Service) is not running (startup type automatic delayed)","-8m","No","","Application: Services, GLPI: Yes, GLPICat: 2854"
"Warning","2025-04-30 18:52:54","2025-04-30 18:57:54","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","CPU queue length is too high (over 3 for 5m)","5m","No","","Application: CPU"
"Warning","2025-04-30 18:52:31","2025-04-30 19:33:01","RESOLVED","(CTEC) SERVIDOR C3P-APACHE01","Unavailable by ICMP ping","40m 30s","No","","Application: Status"
"Warning","2025-04-30 18:51:45","2025-04-30 19:01:45","RESOLVED","(POLITECNICO) SERVIDOR PGPBUIDB01","(POLITECNICO) SERVIDOR PGPBUIDB01 has been restarted (uptime < 10m)","10m","No","","Application: Status"
"Warning","2025-04-30 18:51:30","2025-04-30 19:01:30","RESOLVED","(POLITECNICO) SERVIDOR PGPDMMPDB01","(POLITECNICO) SERVIDOR PGPDMMPDB01 has been restarted (uptime < 10m)","10m","No","","Application: Status, Canvas: MySQL"
"Warning","2025-04-30 18:50:13","2025-04-30 19:00:13","RESOLVED","(POLI) SERVIDOR PGPDMMPNFS01","(POLI) SERVIDOR PGPDMMPNFS01 has been restarted (uptime < 10m)","10m","No","","Application: Status"
"Disaster","2025-04-30 18:50:07","2025-04-30 19:22:07","RESOLVED","(CTEC) SERVIDOR C3P-APACHE01","Zabbix agent is not available (for 5m)","32m","No","Actions (2)","Application: Status"
"Information","2025-04-30 18:48:35","2025-04-30 19:23:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUQSAPSBX01)","35m","No","","Application: General"
"Warning","2025-04-30 18:48:10","2025-04-30 18:58:10","RESOLVED","(POLITECNICO) SERVIDOR PGPDMMPAPP02","(POLITECNICO) SERVIDOR PGPDMMPAPP02 has been restarted (uptime < 10m)","10m","No","","Application: Status"
"Average","2025-04-30 18:45:40","2025-04-30 18:46:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","1m","No","","Application: Disk 1 D:"
"Disaster","2025-04-30 18:44:09","2025-04-30 19:24:08","RESOLVED","(CTEC) SERVIDOR C3P-APACHE01","ICMP PING is unavailable","39m 59s","No","Actions (3)","Application: ICMP, GLPI: Yes, GLPICat: 2883, TICKET: 40901, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=40901"
"Disaster","2025-04-30 18:43:41","","PROBLEM","(CTEC) ILUPLB02","Node /Common/ProdApache01 is not available in some capacity: red (3)","1d 17h 42m","No","Actions (2)","Application: Node status"
"Warning","2025-04-30 18:43:40","2025-04-30 20:23:39","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","High swap space usage ( more than 80% used)","1h 39m 59s","No","","Application: Memory"
"Disaster","2025-04-30 18:43:38","","PROBLEM","(CTEC) ILUPLB01","Node /Common/ProdApache01 is not available in some capacity: red (3)","1d 17h 42m","No","Actions (2)","Application: Node status"
"Warning","2025-04-30 18:43:01","2025-04-30 19:03:01","RESOLVED","Zabbix Proxy Primario","More than 100 items having missing data for more than 10 minutes","20m","No","","Application: Zabbix proxy"
"Average","2025-04-30 18:42:40","","PROBLEM","(CTEC) ILUPLB02","Virtual server /Common/vip_apache01_80 is not available in some capacity: red (3)","1d 17h 43m","No","","Application: Virtual server status"
"Disaster","2025-04-30 18:42:40","","PROBLEM","(CTEC) ILUPLB02","Pool /Common/pool_apache01_443 is not available in some capacity: red (3)","1d 17h 43m","No","Actions (2)","Application: Pool status"
"Average","2025-04-30 18:42:40","","PROBLEM","(CTEC) ILUPLB02","Virtual server /Common/vip_apache01_443 is not available in some capacity: red (3)","1d 17h 43m","No","","Application: Virtual server status"
"Disaster","2025-04-30 18:42:40","","PROBLEM","(CTEC) ILUPLB02","Pool /Common/pool_apache01_80 is not available in some capacity: red (3)","1d 17h 43m","No","Actions (2)","Application: Pool status"
"Disaster","2025-04-30 18:42:38","","PROBLEM","(CTEC) ILUPLB01","Pool /Common/pool_apache01_80 is not available in some capacity: red (3)","1d 17h 43m","No","Actions (2)","Application: Pool status"
"Average","2025-04-30 18:42:38","","PROBLEM","(CTEC) ILUPLB01","Virtual server /Common/vip_apache01_443 is not available in some capacity: red (3)","1d 17h 43m","No","","Application: Virtual server status"
"Disaster","2025-04-30 18:42:38","","PROBLEM","(CTEC) ILUPLB01","Pool /Common/pool_apache01_443 is not available in some capacity: red (3)","1d 17h 43m","No","Actions (2)","Application: Pool status"
"Average","2025-04-30 18:42:38","","PROBLEM","(CTEC) ILUPLB01","Virtual server /Common/vip_apache01_80 is not available in some capacity: red (3)","1d 17h 43m","No","","Application: Virtual server status"
"Average","2025-04-30 18:39:58","2025-04-30 18:57:58","RESOLVED","(POLITECNICO) SERVIDOR PGPDMMPAPP02","Unavailable by ICMP ping","18m","No","","Application: Status, Availability: Yes"
"Average","2025-04-30 18:39:49","2025-04-30 18:58:49","RESOLVED","(POLI) SERVIDOR PGPDMMPNFS01","Unavailable by ICMP ping","19m","No","","Application: Status, Availability: Yes"
"Average","2025-04-30 18:39:45","2025-04-30 18:57:45","RESOLVED","(POLITECNICO) SERVIDOR PGPBUIDB01","Unavailable by ICMP ping","18m","No","","Application: Status, Availability: Yes"
"Disaster","2025-04-30 18:39:39","2025-04-30 18:48:24","RESOLVED","(POLI) SERVIDOR PGPDMMPNFS01","Zabbix agent is not available (or nodata for 30m)","8m 45s","No","","Application: Status"
